generation,deck_uid,win_rate
0,vbjgrtomrgncDxkpDypprnjxzeDnDf,1
0,mbnoohkzwDctgjDoxwEoszvgwcebDh,4
0,odAgAEAomjCimEEBmrCyEbeumckxmv,0
0,jEumBEDbdmowmkaxyndlCuBqDnxpeb,1
0,DDrqyEixltlhkCusdghpilnprjeAvt,1
0,idlcgposbcqxBfqBrvllwqlaniszzE,0
0,awvgEwmekxyyCpgomkEtkfolejipdz,4
0,AbgzChhlEmtohrApruizngbrbnqneE,3
0,blAsydhdrecxpdnsndumsDoCCEgepv,0
0,okpeaftsEDztdgcmftcaqlxDeCCxep,1
0,errfrnjvjcCxpqoczdufpznapbmbgv,3
0,vpotxpukCazBbsiibsueozwbwhznli,4
0,lzcnvcxDlqEuvDAcgpEhnbtjCqitoj,0
0,emgEnhAhEgxegsEBlCfjEfguasDtkb,0
0,midCycizgepsDcahpBAnzgDcevjAkn,1
0,BwjydigmdljlmoubzkyBwoosyopDwr,0
0,BrrnABCpwEsrbcumoasaDgiEjBmxih,0
0,BlaxBsyjftjyaqbiccdaCgBvxgpwcx,0
0,cgtoyszlbxkycyxllEsyodcBjjowDn,0
0,zeErBxAvpBowfiahvCCjpjEykvlkAh,1
0,CyoEdgucAyezBEmzylrgDmcypEeuiy,1
0,pgDreygbritsAErvogfssdtlikrnxE,0
0,tjByzhfnsrkmhsczdmnykdjfoyjoru,1
0,ioDDxAoszprxhqhfdsmwgnwCsAamvn,0
0,sdrqdvloiEBnmbjgkcnnuosdmiyxab,0
0,rsneugdneezBAmCDcpfyuDqBgxghDu,0
